term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
KEGG:00230,3.39372367247907e-50,TRUE,126,65,37,KEGG,Purine metabolism,8161,22,KEGG:00000,FALSE
GO:0004114,7.85727466468333e-49,TRUE,26,74,22,GO:MF,"3',5'-cyclic-nucleotide phosphodiesterase activity",20139,599,GO:0004112,TRUE
GO:0004112,1.97025219806584e-47,TRUE,28,74,22,GO:MF,cyclic-nucleotide phosphodiesterase activity,20139,597,GO:0008081,FALSE
WP:WP4222,7.85469460354747e-41,TRUE,53,57,25,WP,Phosphodiesterases in neuronal function,8625,234,WP:000000,FALSE
GO:0047555,1.20848400363632e-37,TRUE,16,74,16,GO:MF,"3',5'-cyclic-GMP phosphodiesterase activity",20139,6864,GO:0004114,FALSE
GO:0008081,1.83644787414809e-34,TRUE,90,74,23,GO:MF,phosphoric diester hydrolase activity,20139,1543,GO:0042578,FALSE
GO:0004115,3.33585540832485e-32,TRUE,18,74,15,GO:MF,"3',5'-cyclic-AMP phosphodiesterase activity",20139,600,GO:0004114,FALSE
GO:0072521,1.64093311909572e-29,TRUE,492,74,32,GO:BP,purine-containing compound metabolic process,21010,18258,GO:0006725|GO:0034641|GO:0046483|GO:1901360|GO:1901564,TRUE
GO:0006163,8.23808989833196e-29,TRUE,463,74,31,GO:BP,purine nucleotide metabolic process,21010,2027,GO:0009117|GO:0072521,FALSE
GO:0009117,1.16041518847505e-28,TRUE,523,74,32,GO:BP,nucleotide metabolic process,21010,3342,GO:0006753,FALSE
GO:0006753,2.00089039196081e-28,TRUE,532,74,32,GO:BP,nucleoside phosphate metabolic process,21010,2489,GO:0006796|GO:0019637|GO:0055086,FALSE
REAC:R-HSA-392154,1.81141268104238e-27,TRUE,21,65,15,REAC,Nitric oxide stimulates guanylate cyclase,10835,1523,REAC:R-HSA-418346,FALSE
GO:0055086,9.1575869567898e-27,TRUE,600,74,32,GO:BP,nucleobase-containing small molecule metabolic process,21010,14967,GO:0006139|GO:0044281,FALSE
GO:0009259,1.46959144143719e-26,TRUE,385,74,28,GO:BP,ribonucleotide metabolic process,21010,3480,GO:0009117|GO:0019693,FALSE
GO:0019693,2.81838411688118e-26,TRUE,394,74,28,GO:BP,ribose phosphate metabolic process,21010,6285,GO:0006796|GO:0019637|GO:1901135,FALSE
GO:0009150,3.77309625184427e-24,TRUE,364,74,26,GO:BP,purine ribonucleotide metabolic process,21010,3373,GO:0006163|GO:0009259,FALSE
GO:0019637,1.05803416893515e-22,TRUE,973,74,34,GO:BP,organophosphate metabolic process,21010,6235,GO:0006793|GO:0071704,FALSE
REAC:R-HSA-418457,1.38676361131717e-22,TRUE,15,65,12,REAC,cGMP effects,10835,2569,REAC:R-HSA-392154,FALSE
GO:1901292,2.07573151382229e-22,TRUE,87,74,17,GO:BP,nucleoside phosphate catabolic process,21010,22208,GO:0006753|GO:0034655|GO:0046434,FALSE
GO:0009261,2.6297143464187e-22,TRUE,52,74,15,GO:BP,ribonucleotide catabolic process,21010,3482,GO:0009166|GO:0009259|GO:1901136,FALSE
GO:0052652,7.42345504331655e-22,TRUE,41,74,14,GO:BP,cyclic purine nucleotide metabolic process,21010,14878,GO:0006163|GO:0009187,FALSE
GO:0009187,1.1105456887565e-21,TRUE,42,74,14,GO:BP,cyclic nucleotide metabolic process,21010,3409,GO:0009117,FALSE
GO:0009214,1.18773269894796e-21,TRUE,15,74,11,GO:BP,cyclic nucleotide catabolic process,21010,3436,GO:0009166|GO:0009187,FALSE
GO:0072523,2.29821400489898e-21,TRUE,59,74,15,GO:BP,purine-containing compound catabolic process,21010,18260,GO:0019439|GO:0044270|GO:0046700|GO:0072521|GO:1901361|GO:1901565,FALSE
GO:0009154,3.47781253450348e-21,TRUE,45,74,14,GO:BP,purine ribonucleotide catabolic process,21010,3377,GO:0006195|GO:0009150|GO:0009261,FALSE
GO:0006195,6.60295137345918e-20,TRUE,54,74,14,GO:BP,purine nucleotide catabolic process,21010,2053,GO:0006163|GO:0009166|GO:0072523,FALSE
KEGG:04022,6.89520200067152e-20,TRUE,166,65,22,KEGG,cGMP-PKG signaling pathway,8161,246,KEGG:00000,FALSE
GO:0042578,1.09732289347829e-19,TRUE,367,74,23,GO:MF,phosphoric ester hydrolase activity,20139,5654,GO:0016788,FALSE
GO:0009166,2.39294210857289e-19,TRUE,78,74,15,GO:BP,nucleotide catabolic process,21010,3388,GO:0009117|GO:1901292,FALSE
GO:0044281,5.99785564846685e-19,TRUE,1846,74,39,GO:BP,small molecule metabolic process,21010,11506,GO:0008152,FALSE
GO:0046434,2.39336337419106e-18,TRUE,146,74,17,GO:BP,organophosphate catabolic process,21010,12766,GO:0019637|GO:1901575,FALSE
REAC:R-HSA-418346,9.27075183722661e-18,TRUE,85,65,16,REAC,Platelet homeostasis,10835,1684,REAC:R-HSA-109582,FALSE
GO:0030553,2.26649968931419e-16,TRUE,15,74,9,GO:MF,cGMP binding,20139,3970,GO:0030551|GO:0032561|GO:0043168,TRUE
GO:0030551,3.75379656386167e-16,TRUE,37,74,11,GO:MF,cyclic nucleotide binding,20139,3968,GO:0000166,FALSE
KEGG:01100,5.07595209552413e-16,TRUE,1532,65,44,KEGG,Metabolic pathways,8161,181,KEGG:00000,FALSE
GO:0016788,6.07567082372468e-16,TRUE,767,74,26,GO:MF,"hydrolase activity, acting on ester bonds",20139,2993,GO:0016787,FALSE
GO:1901135,1.14528069912627e-14,TRUE,1054,74,28,GO:BP,carbohydrate derivative metabolic process,21010,22080,GO:0071704,FALSE
GO:1901136,5.94405580202952e-14,TRUE,172,74,15,GO:BP,carbohydrate derivative catabolic process,21010,22081,GO:1901135|GO:1901575,FALSE
GO:0019935,2.84476058696376e-13,TRUE,85,74,12,GO:BP,cyclic-nucleotide-mediated signaling,21010,6374,GO:0019932,TRUE
GO:0046068,7.03564504133104e-13,TRUE,17,74,8,GO:BP,cGMP metabolic process,21010,12462,GO:0009150|GO:0052652,FALSE
GO:0006198,1.10713083463057e-12,TRUE,10,74,7,GO:BP,cAMP catabolic process,21010,2055,GO:0009154|GO:0009214|GO:0046058,FALSE
GO:0003824,1.83791409982531e-12,TRUE,5751,74,54,GO:MF,catalytic activity,20139,368,GO:0003674,FALSE
GO:0006796,2.7840707291511e-12,TRUE,2694,74,38,GO:BP,phosphate-containing compound metabolic process,21010,2521,GO:0006793,FALSE
GO:0019934,3.36413475457343e-12,TRUE,33,74,9,GO:BP,cGMP-mediated signaling,21010,6373,GO:0019935,FALSE
GO:0006793,3.78017468291702e-12,TRUE,2719,74,38,GO:BP,phosphorus metabolic process,21010,2518,GO:0044237,FALSE
KEGG:01232,5.6582053251264e-12,TRUE,85,65,13,KEGG,Nucleotide metabolism,8161,189,KEGG:00000,FALSE
GO:0019932,6.60023358011727e-12,TRUE,289,74,16,GO:BP,second-messenger-mediated signaling,21010,6371,GO:0035556,FALSE
KEGG:05032,1.05135868529691e-11,TRUE,89,65,13,KEGG,Morphine addiction,8161,413,KEGG:00000,FALSE
GO:0000166,1.30576572269631e-11,TRUE,2182,74,34,GO:MF,nucleotide binding,20139,31,GO:0036094|GO:1901265,FALSE
GO:1901265,1.32357751175012e-11,TRUE,2183,74,34,GO:MF,nucleoside phosphate binding,20139,10946,GO:0097159|GO:1901363,FALSE
GO:0034655,1.42114974759129e-11,TRUE,432,74,18,GO:BP,nucleobase-containing compound catabolic process,21010,9113,GO:0006139|GO:0019439|GO:0044270|GO:0046700|GO:1901361,FALSE
GO:0090533,5.23123162762536e-11,TRUE,19,74,7,GO:CC,cation-transporting ATPase complex,22090,2850,GO:0098533,TRUE
GO:0044270,6.05351706188821e-11,TRUE,470,74,18,GO:BP,cellular nitrogen compound catabolic process,21010,11500,GO:0034641|GO:0044248,FALSE
GO:0046700,6.27787180469998e-11,TRUE,471,74,18,GO:BP,heterocycle catabolic process,21010,12951,GO:0044248|GO:0046483,FALSE
GO:0017076,7.0965355411723e-11,TRUE,2019,74,32,GO:MF,purine nucleotide binding,20139,3148,GO:0000166,FALSE
GO:0019439,1.19175390961203e-10,TRUE,489,74,18,GO:BP,aromatic compound catabolic process,21010,6053,GO:0006725|GO:0044248,FALSE
GO:1901361,3.07360614220993e-10,TRUE,517,74,18,GO:BP,organic cyclic compound catabolic process,21010,22265,GO:1901360|GO:1901575,FALSE
GO:0098533,4.91161474679525e-10,TRUE,25,74,7,GO:CC,ATPase dependent transmembrane transport complex,22090,3184,GO:1902495,FALSE
GO:0006164,7.09554369193827e-10,TRUE,263,74,14,GO:BP,purine nucleotide biosynthetic process,21010,2028,GO:0006163|GO:0009165|GO:0072522,FALSE
GO:0046069,8.74835033473746e-10,TRUE,5,74,5,GO:BP,cGMP catabolic process,21010,12463,GO:0009154|GO:0009214|GO:0046068,FALSE
GO:0072522,1.12251299590377e-09,TRUE,272,74,14,GO:BP,purine-containing compound biosynthetic process,21010,18259,GO:0018130|GO:0019438|GO:0044271|GO:0072521|GO:1901362|GO:1901566,FALSE
GO:0009161,1.63197557488186e-09,TRUE,62,74,9,GO:BP,ribonucleoside monophosphate metabolic process,21010,3383,GO:0009123,FALSE
GO:0036094,1.76383440062837e-09,TRUE,2583,74,34,GO:MF,small molecule binding,20139,5425,GO:0005488,FALSE
REAC:R-HSA-15869,2.02954028153364e-09,TRUE,91,65,11,REAC,Metabolism of nucleotides,10835,1364,REAC:R-HSA-1430728,FALSE
GO:0046058,3.07064566238338e-09,TRUE,24,74,7,GO:BP,cAMP metabolic process,21010,12452,GO:0009150|GO:0052652,FALSE
GO:0009165,3.87191851528313e-09,TRUE,298,74,14,GO:BP,nucleotide biosynthetic process,21010,3387,GO:0009117|GO:1901293,FALSE
GO:1901293,4.23805545421e-09,TRUE,300,74,14,GO:BP,nucleoside phosphate biosynthetic process,21010,22209,GO:0006753|GO:0034654|GO:0090407,FALSE
GO:0009126,4.75615750760418e-09,TRUE,44,74,8,GO:BP,purine nucleoside monophosphate metabolic process,21010,3349,GO:0009123,FALSE
GO:0032555,5.30378199056057e-09,TRUE,1916,74,29,GO:MF,purine ribonucleotide binding,20139,4481,GO:0017076|GO:0032553,FALSE
GO:0032553,6.59439398721893e-09,TRUE,1933,74,29,GO:MF,ribonucleotide binding,20139,4479,GO:0000166|GO:0097367,FALSE
WP:WP5294,8.87184728309897e-09,TRUE,22,57,7,WP,Sildenafil treatment,8625,450,WP:000000,FALSE
GO:0016787,1.31168054073469e-08,TRUE,2446,74,32,GO:MF,hydrolase activity,20139,2992,GO:0003824,FALSE
GO:0009123,1.40295846557144e-08,TRUE,78,74,9,GO:BP,nucleoside monophosphate metabolic process,21010,3346,GO:0006753,FALSE
GO:0008015,3.19134179005018e-08,TRUE,503,74,16,GO:BP,blood circulation,21010,3149,GO:0003013,TRUE
REAC:R-HSA-418555,4.5093302795082e-08,TRUE,156,65,12,REAC,G alpha (s) signalling events,10835,942,REAC:R-HSA-388396,FALSE
GO:0009260,5.22350921098041e-08,TRUE,231,74,12,GO:BP,ribonucleotide biosynthetic process,21010,3481,GO:0009165|GO:0009259|GO:0046390,FALSE
GO:0005829,6.43248757601513e-08,TRUE,5457,74,44,GO:CC,cytosol,22090,380,GO:0005737|GO:0110165,TRUE
GO:0043168,7.21774468389692e-08,TRUE,2446,74,31,GO:MF,anion binding,20139,5754,GO:0043167,FALSE
GO:0006813,7.76510828163295e-08,TRUE,239,74,12,GO:BP,potassium ion transport,21010,2533,GO:0030001,TRUE
