Ensembl_source	Ensembl	fromPublication	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000144619	ENSG00000144619	1			153	rs17194490				
ENSG00000186868	ENSG00000186868	1			158	rs2532240				
ENSG00000185619	ENSG00000185619	1			137	rs35734242				
ENSG00000120071	ENSG00000120071	1			138	rs2532240				
ENSG00000175727	ENSG00000175727	1			152	rs143116451				
ENSG00000104765	ENSG00000104765	1			158	rs3808581				
ENSG00000126456	ENSG00000126456	1			221	rs2304205				
ENSG00000137843	ENSG00000137843	1			172	rs56205728				
ENSG00000065609	ENSG00000065609	1			153	rs2022265				
ENSG00000103037	ENSG00000103037	1			137	rs154433				
ENSG00000127152	ENSG00000127152	1			152	rs1540840				
ENSG00000198010	ENSG00000198010	1			147	rs2600490				
ENSG00000167491	ENSG00000167491	1			137	rs1858999				
ENSG00000151067	ENSG00000151067	1			147	rs10774034				
ENSG00000153707	ENSG00000153707	1			147	rs2890914				
ENSG00000149527	ENSG00000149527	1			137	rs6673880				
ENSG00000180530	ENSG00000180530	1			137	rs9975024				
ENSG00000187323	ENSG00000187323	1			137	rs4632195				
ENSG00000122584	ENSG00000122584	1			147	rs11972718				
ENSG00000002822	ENSG00000002822	1			142	rs58120505				
ENSG00000117020	ENSG00000117020	1			137	rs61833239				
ENSG00000143578	ENSG00000143578	1			137	rs10127983				
ENSG00000072134	ENSG00000072134	1			153	rs4073003				
ENSG00000115540	ENSG00000115540	1			143	rs2914983				
ENSG00000142599	ENSG00000142599	1			137	rs11121172				
ENSG00000112659	ENSG00000112659	1			138	rs113113059				
ENSG00000169306	ENSG00000169306	1			147	rs1378559				
ENSG00000169592	ENSG00000169592	1			138	rs3814883				
ENSG00000134748	ENSG00000134748			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000108055	ENSG00000108055			1	142		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000064309	ENSG00000064309			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000171862	ENSG00000171862			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000105695	ENSG00000105695			1	143		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000089280	ENSG00000089280			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000101412	ENSG00000101412			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000128683	ENSG00000128683			1	140			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000176165	ENSG00000176165			1	144			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000140443	ENSG00000140443			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000176697	ENSG00000176697			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000106462	ENSG00000106462			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000197971	ENSG00000197971			1	143			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000135829	ENSG00000135829			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000114062	ENSG00000114062			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000185591	ENSG00000185591			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000006377	ENSG00000006377			1	171			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000118515	ENSG00000118515			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000141027	ENSG00000141027			1	137		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000167244	ENSG00000167244			1	138			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000152578	ENSG00000152578			1	147		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000169057	ENSG00000169057			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000138336	ENSG00000138336			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000169813	ENSG00000169813			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000221869	ENSG00000221869			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000118260	ENSG00000118260			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000176884	ENSG00000176884			1	147		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000169375	ENSG00000169375			1	137		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000186895	ENSG00000186895			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000084093	ENSG00000084093			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000138685	ENSG00000138685			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000102974	ENSG00000102974			1	142			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000198793	ENSG00000198793			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000105880	ENSG00000105880			1	171			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000157005	ENSG00000157005			1	135			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000172845	ENSG00000172845			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000017427	ENSG00000017427			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000120948	ENSG00000120948			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000169045	ENSG00000169045			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000070808	ENSG00000070808			1	147			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000096060	ENSG00000096060			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000142208	ENSG00000142208			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000075388	ENSG00000075388			1	137			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000065978	ENSG00000065978			1	158			WP3584	WP3584	MECP2 and associated Rett syndrome
