Ensembl_source	Ensembl	fromPublication	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000133112	ENSG00000133112		1		164					
ENSG00000100664	ENSG00000100664		1		164					
ENSG00000184916	ENSG00000184916		1		247					
ENSG00000134001	ENSG00000134001		1		164					
ENSG00000153944	ENSG00000153944	1			247	rs4793888				
ENSG00000214285	ENSG00000214285		1		164					
ENSG00000105245	ENSG00000105245		1		247					
ENSG00000128512	ENSG00000128512		1		164					
ENSG00000204301	ENSG00000204301		1		247					
ENSG00000101384	ENSG00000101384		1		247					
ENSG00000071626	ENSG00000071626		1		247					
ENSG00000187258	ENSG00000187258		1		164					
ENSG00000137154	ENSG00000137154			1	164			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000071462	ENSG00000071462			1	164		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000144895	ENSG00000144895			1	164		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000106682	ENSG00000106682			1	164		1	WP4932	WP4932	7q11.23 copy number variation syndrome
