KEid_target	KEid	AOPid_source	AOPid	AOPtitle
https://identifiers.org/aop.events/709	https://identifiers.org/aop.events/709	https://identifiers.org/aop/105	https://identifiers.org/aop/105	Alpha2u-microglobulin cytotoxicity leading to renal tubular adenomas and carcinomas (in male rat)
https://identifiers.org/aop.events/721	https://identifiers.org/aop.events/721	https://identifiers.org/aop/106	https://identifiers.org/aop/106	Chemical binding to tubulin in oocytes leading to aneuploid offspring
https://identifiers.org/aop.events/715	https://identifiers.org/aop.events/715	https://identifiers.org/aop/107	https://identifiers.org/aop/107	Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat
https://identifiers.org/aop.events/1214	https://identifiers.org/aop.events/1214	https://identifiers.org/aop/107	https://identifiers.org/aop/107	Constitutive androstane receptor activation leading to hepatocellular adenomas and carcinomas in the mouse and the rat
https://identifiers.org/aop.events/209	https://identifiers.org/aop.events/209	https://identifiers.org/aop/108	https://identifiers.org/aop/108	Inhibition of pyruvate dehydrogenase kinase leading to hepatocellular adenomas and carcinomas (in mouse and rat)
https://identifiers.org/aop.events/277	https://identifiers.org/aop.events/277	https://identifiers.org/aop/110	https://identifiers.org/aop/110	Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse)
https://identifiers.org/aop.events/281	https://identifiers.org/aop.events/281	https://identifiers.org/aop/110	https://identifiers.org/aop/110	Inhibition of iodide pump activity leading to follicular cell adenomas and carcinomas (in rat and mouse)
https://identifiers.org/aop.events/149	https://identifiers.org/aop.events/149	https://identifiers.org/aop/115	https://identifiers.org/aop/115	Epithelial cytotoxicity leading to forestomach tumors (in mouse and rat)
https://identifiers.org/aop.events/277	https://identifiers.org/aop.events/277	https://identifiers.org/aop/119	https://identifiers.org/aop/119	Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse)
https://identifiers.org/aop.events/281	https://identifiers.org/aop.events/281	https://identifiers.org/aop/119	https://identifiers.org/aop/119	Inhibition of thyroid peroxidase leading to follicular cell adenomas and carcinomas (in rat and mouse)
https://identifiers.org/aop.events/52	https://identifiers.org/aop.events/52	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/201	https://identifiers.org/aop.events/201	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/352	https://identifiers.org/aop.events/352	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/381	https://identifiers.org/aop.events/381	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/188	https://identifiers.org/aop.events/188	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop.events/195	https://identifiers.org/aop.events/195	https://identifiers.org/aop/12	https://identifiers.org/aop/12	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
