term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
GO:0009101,1.59393813558884e-10,TRUE,315,7,7,GO:BP,glycoprotein biosynthetic process,21010,3329,GO:0009059|GO:0009100|GO:1901137|GO:1901566,TRUE
GO:0009100,7.46549817714146e-10,TRUE,392,7,7,GO:BP,glycoprotein metabolic process,21010,3328,GO:0019538|GO:1901135,FALSE
GO:0000139,2.79521836377065e-09,TRUE,646,7,7,GO:CC,Golgi membrane,22090,18,GO:0005794|GO:0098588,TRUE
GO:0006486,1.06097203550664e-08,TRUE,228,7,6,GO:BP,protein glycosylation,21010,2255,GO:0009101|GO:0036211|GO:0043413,FALSE
GO:0043413,1.06097203550664e-08,TRUE,228,7,6,GO:BP,macromolecule glycosylation,21010,11191,GO:0043412|GO:0070085,FALSE
GO:0070085,1.59974511189375e-08,TRUE,244,7,6,GO:BP,glycosylation,21010,16698,GO:0008152,FALSE
GO:1901137,2.98975545746033e-08,TRUE,662,7,7,GO:BP,carbohydrate derivative biosynthetic process,21010,22082,GO:1901135|GO:1901576,FALSE
KEGG:00515,8.18000100601388e-08,TRUE,23,7,4,KEGG,Mannose type O-glycan biosynthesis,8161,68,KEGG:00000,FALSE
REAC:R-HSA-975576,2.13973799759344e-07,TRUE,26,7,4,REAC,N-glycan antennae elongation in the medial/trans-Golgi,10835,1433,REAC:R-HSA-948021,FALSE
GO:0016758,2.52826602619386e-07,TRUE,197,7,5,GO:MF,hexosyltransferase activity,20139,2969,GO:0016757,TRUE
GO:1901135,7.84630658253132e-07,TRUE,1054,7,7,GO:BP,carbohydrate derivative metabolic process,21010,22080,GO:0071704,FALSE
GO:0016757,1.32656295389976e-06,TRUE,274,7,5,GO:MF,glycosyltransferase activity,20139,2968,GO:0016740,FALSE
GO:0005794,1.72477489803804e-06,TRUE,1613,7,7,GO:CC,Golgi apparatus,22090,358,GO:0005737|GO:0012505|GO:0043231,FALSE
GO:0005975,2.74288151696142e-06,TRUE,573,7,6,GO:BP,carbohydrate metabolic process,21010,1872,GO:0044238|GO:0071704,TRUE
REAC:R-HSA-975578,4.66472419398677e-06,TRUE,10,7,3,REAC,Reactions specific to the complex N-glycan synthesis pathway,10835,1858,REAC:R-HSA-975576,FALSE
KEGG:00533,6.86850633618674e-06,TRUE,14,7,3,KEGG,Glycosaminoglycan biosynthesis - keratan sulfate,8161,77,KEGG:00000,FALSE
GO:0008194,1.27489193587172e-05,TRUE,145,7,4,GO:MF,UDP-glycosyltransferase activity,20139,1607,GO:0016757,FALSE
GO:0098588,1.33629808260542e-05,TRUE,2160,7,7,GO:CC,bounding membrane of organelle,22090,3223,GO:0031090,FALSE
GO:1901566,3.56643690028498e-05,TRUE,1816,7,7,GO:BP,organonitrogen compound biosynthetic process,21010,22439,GO:1901564|GO:1901576,FALSE
GO:0015018,4.4630851341378e-05,TRUE,3,7,2,GO:MF,galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity,20139,2277,GO:0015020,FALSE
REAC:R-HSA-1630316,0.000127162646899407,TRUE,123,7,4,REAC,Glycosaminoglycan metabolism,10835,1029,REAC:R-HSA-71387,FALSE
KEGG:00513,0.000170867491850136,TRUE,39,7,3,KEGG,Various types of N-glycan biosynthesis,8161,66,KEGG:00000,FALSE
KEGG:00510,0.000364967707395856,TRUE,50,7,3,KEGG,N-Glycan biosynthesis,8161,63,KEGG:00000,FALSE
KEGG:01100,0.000398229853673558,TRUE,1532,7,7,KEGG,Metabolic pathways,8161,181,KEGG:00000,FALSE
WP:WP5153,0.000512101030834684,TRUE,57,6,3,WP,N-glycan biosynthesis,8625,653,WP:000000,FALSE
GO:0031090,0.000619056008046398,TRUE,3734,7,7,GO:CC,organelle membrane,22090,1048,GO:0016020|GO:0043227,FALSE
REAC:R-HSA-948021,0.000666739286730028,TRUE,186,7,4,REAC,Transport to the Golgi and subsequent modification,10835,2485,REAC:R-HSA-446203,FALSE
GO:0031985,0.000767069958205365,TRUE,116,7,3,GO:CC,Golgi cisterna,22090,1234,GO:0005795|GO:0098791,FALSE
GO:0030166,0.0010270180564489,TRUE,66,7,3,GO:BP,proteoglycan biosynthetic process,21010,7008,GO:0006029|GO:0009101,FALSE
GO:0005795,0.0016607364365491,TRUE,150,7,3,GO:CC,Golgi stack,22090,359,GO:0098791,FALSE
GO:0016740,0.00229569439542725,TRUE,2354,7,6,GO:MF,transferase activity,20139,2952,GO:0003824,FALSE
GO:0006029,0.00329443009029491,TRUE,97,7,3,GO:BP,proteoglycan metabolic process,21010,1924,GO:0009100,FALSE
GO:0012505,0.00330187270761833,TRUE,4742,7,7,GO:CC,endomembrane system,22090,689,GO:0110165,FALSE
REAC:R-HSA-71387,0.00358493621468,TRUE,284,7,4,REAC,Metabolism of carbohydrates,10835,1354,REAC:R-HSA-1430728,FALSE
REAC:R-HSA-446203,0.00475316300526198,TRUE,305,7,4,REAC,Asparagine N-linked glycosylation,10835,164,REAC:R-HSA-597592,FALSE
GO:0035250,0.00520109964362905,TRUE,27,7,2,GO:MF,UDP-galactosyltransferase activity,20139,5315,GO:0008194|GO:0008378,FALSE
GO:0008378,0.00644260542823477,TRUE,30,7,2,GO:MF,galactosyltransferase activity,20139,1672,GO:0016758,FALSE
GO:0015020,0.00830323662460817,TRUE,34,7,2,GO:MF,glucuronosyltransferase activity,20139,2279,GO:0008194|GO:0016758,FALSE
KEGG:00601,0.0107412267688453,TRUE,27,7,2,KEGG,Glycosphingolipid biosynthesis - lacto and neolacto series,8161,96,KEGG:00000,FALSE
TF:M07208_1,0.0143286233005001,TRUE,2247,7,6,TF,Factor: EGR1; motif: NCNCCGCCCCCGCN; match class: 1,20011,1615,TF:M07208,FALSE
GO:0006491,0.0180273057008406,TRUE,20,7,2,GO:BP,N-glycan processing,21010,2260,GO:0009100,FALSE
GO:0003824,0.0221919512558894,TRUE,5751,7,7,GO:MF,catalytic activity,20139,368,GO:0003674,FALSE
GO:0050650,0.0239933526267496,TRUE,23,7,2,GO:BP,chondroitin sulfate proteoglycan biosynthetic process,21010,13847,GO:0030166|GO:0050654,FALSE
GO:0098791,0.0258723343482105,TRUE,377,7,3,GO:CC,Golgi apparatus subcompartment,22090,3262,GO:0005794|GO:0031984,FALSE
REAC:R-HSA-1971475,0.0272232658713381,TRUE,26,7,2,REAC,A tetrasaccharide linker sequence is required for GAG synthesis,10835,3,REAC:R-HSA-1638091|REAC:R-HSA-1793185,FALSE
WP:WP5395,0.0310015282872031,TRUE,41,6,2,WP,Glycosaminoglycan synthesis in fibroblasts,8625,519,WP:000000,FALSE
REAC:R-HSA-2022854,0.0316432552839631,TRUE,28,7,2,REAC,Keratan sulfate biosynthesis,10835,1232,REAC:R-HSA-1638074,FALSE
GO:0016051,0.032977449266919,TRUE,209,7,3,GO:BP,carbohydrate biosynthetic process,21010,5169,GO:0005975|GO:1901576,FALSE
GO:0019082,0.0440424870870499,TRUE,31,7,2,GO:BP,viral protein processing,21010,5821,GO:0016032|GO:0019080,TRUE
REAC:R-HSA-1638074,0.0468758971241449,TRUE,34,7,2,REAC,Keratan sulfate/keratin metabolism,10835,1234,REAC:R-HSA-1630316,FALSE
GO:0008424,0.0499402714353951,TRUE,1,7,1,GO:MF,glycoprotein 6-alpha-L-fucosyltransferase activity,20139,1705,GO:0046921|GO:0140103,TRUE
GO:0016232,0.0499402714353951,TRUE,1,7,1,GO:MF,HNK-1 sulfotransferase activity,20139,2754,GO:0008146,TRUE
