Ensembl_source	Ensembl	CNVassociated	gLayCluster_target	gLayCluster	N_nodes	Publication_source	DisGeNET_source	WikiPathways_source	WikiPathways_CNV	WikiPathways_noCNV	summary_term
ENSG00000187094	ENSG00000187094		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000105464	ENSG00000105464	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000102683	ENSG00000102683	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000183454	ENSG00000183454	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000143199	ENSG00000143199		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000157005	ENSG00000157005		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000185532	ENSG00000185532	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000273079	ENSG00000273079	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000125798	ENSG00000125798	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000132535	ENSG00000132535	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000173402	ENSG00000173402	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000151067	ENSG00000151067		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000089250	ENSG00000089250		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000147571	ENSG00000147571		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000108823	ENSG00000108823	1	164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000146469	ENSG00000146469		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000133636	ENSG00000133636		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000122585	ENSG00000122585		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000064651	ENSG00000064651		164	164	173	9	117	85	55	30	Synaptic signaling & cell junction
ENSG00000144554	ENSG00000144554	1	165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000171759	ENSG00000171759		165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000152422	ENSG00000152422		165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000073050	ENSG00000073050		165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000149311	ENSG00000149311		165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000049541	ENSG00000049541	1	165	165	43	0	12	33	32	1	Chromosome organisation
ENSG00000012048	ENSG00000012048		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000113580	ENSG00000113580		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000134852	ENSG00000134852		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000121691	ENSG00000121691		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000118971	ENSG00000118971		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000140464	ENSG00000140464		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000102882	ENSG00000102882	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000277586	ENSG00000277586		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000177606	ENSG00000177606	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000082701	ENSG00000082701		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000164733	ENSG00000164733	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000054598	ENSG00000054598	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000148737	ENSG00000148737		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000142208	ENSG00000142208	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000168036	ENSG00000168036	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000103126	ENSG00000103126	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000136997	ENSG00000136997	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000141027	ENSG00000141027	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000091831	ENSG00000091831		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000112062	ENSG00000112062		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000172071	ENSG00000172071	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000170345	ENSG00000170345		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000173039	ENSG00000173039	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000048052	ENSG00000048052		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000131759	ENSG00000131759		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000141510	ENSG00000141510	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000117984	ENSG00000117984	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000133794	ENSG00000133794	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000171791	ENSG00000171791	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000100030	ENSG00000100030	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000096717	ENSG00000096717	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000096060	ENSG00000096060		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000015475	ENSG00000015475		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000143387	ENSG00000143387		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000107643	ENSG00000107643	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000110092	ENSG00000110092		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000109320	ENSG00000109320	1	166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000186951	ENSG00000186951		166	166	232	13	112	143	114	29	Regulation of metabolic processes
ENSG00000180530	ENSG00000180530		166	166	232	13	112	143	114	29	Regulation of metabolic processes
