term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
KEGG:00563,0.000248996792688403,TRUE,26,2,2,KEGG,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,8161,87,KEGG:00000,FALSE
REAC:R-HSA-162710,0.000626252443009054,TRUE,17,2,2,REAC,Synthesis of glycosylphosphatidylinositol (GPI),10835,2297,REAC:R-HSA-163125,FALSE
GO:0006506,0.001170520461804,TRUE,32,2,2,GO:BP,GPI anchor biosynthetic process,21010,2268,GO:0006497|GO:0006505|GO:0006661|GO:0009247,TRUE
GO:0006505,0.00124603791095265,TRUE,33,2,2,GO:BP,GPI anchor metabolic process,21010,2267,GO:0006664|GO:0046488,FALSE
WP:WP4906,0.00288005347975363,TRUE,71,2,2,WP,3q29 copy number variation syndrome,8625,837,WP:000000,FALSE
GO:0009247,0.00637414469220286,TRUE,74,2,2,GO:BP,glycolipid biosynthetic process,21010,3468,GO:0006664|GO:0046467|GO:1901137,FALSE
GO:0006497,0.0109877888511279,TRUE,97,2,2,GO:BP,protein lipidation,21010,2262,GO:0036211|GO:0042158,FALSE
GO:0042158,0.012155949392646,TRUE,102,2,2,GO:BP,lipoprotein biosynthetic process,21010,10495,GO:0009059|GO:0042157|GO:1901566,FALSE
GO:0006664,0.0131329563910066,TRUE,106,2,2,GO:BP,glycolipid metabolic process,21010,2411,GO:0006643|GO:1903509,FALSE
GO:1903509,0.0133831079413115,TRUE,107,2,2,GO:BP,liposaccharide metabolic process,21010,24001,GO:0006629|GO:1901135,FALSE
GO:1990529,0.0166431443559569,TRUE,1,2,1,GO:CC,glycosylphosphatidylinositol-mannosyltransferase I complex,22090,3935,GO:0031501|GO:0140534,TRUE
REAC:R-HSA-163125,0.0188566452508976,TRUE,91,2,2,REAC,Post-translational modification: synthesis of GPI-anchored proteins,10835,1694,REAC:R-HSA-597592,FALSE
GO:0006661,0.0207153802695878,TRUE,133,2,2,GO:BP,phosphatidylinositol biosynthetic process,21010,2408,GO:0046474|GO:0046488,FALSE
GO:0042157,0.02296202438176,TRUE,140,2,2,GO:BP,lipoprotein metabolic process,21010,10494,GO:0019538,FALSE
GO:0051751,0.0248274492279377,TRUE,1,1,1,GO:MF,"alpha-1,4-mannosyltransferase activity",20139,8100,GO:0000030,TRUE
GO:0046467,0.0263721091948785,TRUE,150,2,2,GO:BP,membrane lipid biosynthetic process,21010,12799,GO:0006643|GO:0008610|GO:0044249,FALSE
GO:0046488,0.0288995838210723,TRUE,157,2,2,GO:BP,phosphatidylinositol metabolic process,21010,12817,GO:0006650,FALSE
HP:0031553,0.0498840694227146,TRUE,1,1,1,HP,Reduced granulocyte surface marker level,4962,11604,HP:0031551,FALSE
HP:0031555,0.0498840694227146,TRUE,1,1,1,HP,Reduced granulocyte CD59 level,4962,11606,HP:0031553,FALSE
