"AOid","AOPid","AOPtitle","AOtitle","Ensembl","HGNC","index","KEid","KEtitle","name","selected","shared name"
,,,,,,"409912","https://identifiers.org/aop.events/209","Peptide Oxidation","https://identifiers.org/aop.events/209","false","https://identifiers.org/aop.events/209"
,,,,,,"409915","https://identifiers.org/aop.events/55","Cell injury/death","https://identifiers.org/aop.events/55","false","https://identifiers.org/aop.events/55"
,,,,,,"409918","https://identifiers.org/aop.events/188","Neuroinflammation","https://identifiers.org/aop.events/188","false","https://identifiers.org/aop.events/188"
,,,,,,"409921","https://identifiers.org/aop.events/381","Reduced levels of BDNF","https://identifiers.org/aop.events/381","false","https://identifiers.org/aop.events/381"
,,,,,,"409924","https://identifiers.org/aop.events/202","Inhibition, Nuclear factor kappa B (NF-kB)","https://identifiers.org/aop.events/202","false","https://identifiers.org/aop.events/202"
,,,,,,"409927","https://identifiers.org/aop.events/898","Disruption, Lysosome","https://identifiers.org/aop.events/898","false","https://identifiers.org/aop.events/898"
,,,,,,"409930","https://identifiers.org/aop.events/1493","Increased Pro-inflammatory mediators","https://identifiers.org/aop.events/1493","false","https://identifiers.org/aop.events/1493"
,,,,,,"409933","https://identifiers.org/aop.events/941","Activation, EGFR","https://identifiers.org/aop.events/941","false","https://identifiers.org/aop.events/941"
,,,,,,"409936","https://identifiers.org/aop.events/962","Increase, Mucin production","https://identifiers.org/aop.events/962","false","https://identifiers.org/aop.events/962"
,,,,,,"409939","https://identifiers.org/aop.events/960","Increased, Uptake of thyroxine into tissue","https://identifiers.org/aop.events/960","false","https://identifiers.org/aop.events/960"
,,,,,,"409942","https://identifiers.org/aop.events/984","Impairment, T-cell dependent antibody response","https://identifiers.org/aop.events/984","false","https://identifiers.org/aop.events/984"
,,,,,,"409945","https://identifiers.org/aop.events/981","Reduction, NFAT/AP-1 complex formation","https://identifiers.org/aop.events/981","false","https://identifiers.org/aop.events/981"
,,,,,,"409948","https://identifiers.org/aop.events/1202","Suppression, IL-2 and IL-4 production","https://identifiers.org/aop.events/1202","false","https://identifiers.org/aop.events/1202"
,,,,,,"409951","https://identifiers.org/aop.events/1488","Glutamate dyshomeostasis","https://identifiers.org/aop.events/1488","false","https://identifiers.org/aop.events/1488"
,,,,,,"409954","https://identifiers.org/aop.events/1492","Tissue resident cell activation","https://identifiers.org/aop.events/1492","false","https://identifiers.org/aop.events/1492"
,,,,,,"409957","https://identifiers.org/aop.events/1499","Increased, activation of T (T) helper (h) type 2 cells","https://identifiers.org/aop.events/1499","false","https://identifiers.org/aop.events/1499"
,,,,,,"409960","https://identifiers.org/aop.events/1496","Increased, secretion of proinflammatory mediators","https://identifiers.org/aop.events/1496","false","https://identifiers.org/aop.events/1496"
,,,,,,"409963","https://identifiers.org/aop.events/1193","N/A, Breast Cancer","https://identifiers.org/aop.events/1193","false","https://identifiers.org/aop.events/1193"
,,,,,,"409966","https://identifiers.org/aop.events/1262","Apoptosis","https://identifiers.org/aop.events/1262","false","https://identifiers.org/aop.events/1262"
,,,,,,"409969","https://identifiers.org/aop.events/1457","Induction, Epithelial Mesenchymal Transition","https://identifiers.org/aop.events/1457","false","https://identifiers.org/aop.events/1457"
,,,,,,"409972","https://identifiers.org/aop.events/1394","Induction, persistent proliferation/sustained proliferation","https://identifiers.org/aop.events/1394","false","https://identifiers.org/aop.events/1394"
,,,,,,"409975","https://identifiers.org/aop.events/1439","Systemic acute phase response","https://identifiers.org/aop.events/1439","false","https://identifiers.org/aop.events/1439"
,,,,,,"409978","https://identifiers.org/aop.events/1513","General Apoptosis","https://identifiers.org/aop.events/1513","false","https://identifiers.org/aop.events/1513"
,,,,,,"409981","https://identifiers.org/aop.events/87","Release, Cytokine","https://identifiers.org/aop.events/87","false","https://identifiers.org/aop.events/87"
,,,,,,"409984","https://identifiers.org/aop.events/1700","Impaired IL-1R1 signaling in T cell","https://identifiers.org/aop.events/1700","false","https://identifiers.org/aop.events/1700"
,,,,,,"409987","https://identifiers.org/aop.events/1825","Increase, Cell death","https://identifiers.org/aop.events/1825","false","https://identifiers.org/aop.events/1825"
,,,,,,"409990","https://identifiers.org/aop.events/1822","Maturation of TNF/iNOS-Producing Dendritic Cells","https://identifiers.org/aop.events/1822","false","https://identifiers.org/aop.events/1822"
,,,,,,"409993","https://identifiers.org/aop.events/1718","Suppression of IL-4 production","https://identifiers.org/aop.events/1718","false","https://identifiers.org/aop.events/1718"
,,,,,,"409996","https://identifiers.org/aop.events/1854","Dysregulation, ACE2 expression and activity","https://identifiers.org/aop.events/1854","false","https://identifiers.org/aop.events/1854"
,,,,,,"409999","https://identifiers.org/aop.events/1848","Toll Like Receptor (TLR) Dysregulation","https://identifiers.org/aop.events/1848","false","https://identifiers.org/aop.events/1848"
