KEid_source	KEid	AOPid_target	AOPid	AOPtitle
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/381	https://identifiers.org/aop.events/381	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/188	https://identifiers.org/aop.events/188	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/12	https://identifiers.org/aop/12	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development leads to neurodegeneration with impairment in learning and memory in aging
https://identifiers.org/aop/13	https://identifiers.org/aop/13	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
https://identifiers.org/aop/13	https://identifiers.org/aop/13	https://identifiers.org/aop.events/381	https://identifiers.org/aop.events/381	Chronic binding of antagonist to N-methyl-D-aspartate receptors (NMDARs) during brain development induces impairment of learning and memory abilities
https://identifiers.org/aop/144	https://identifiers.org/aop/144	https://identifiers.org/aop.events/1493	https://identifiers.org/aop.events/1493	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop/144	https://identifiers.org/aop/144	https://identifiers.org/aop.events/55	https://identifiers.org/aop.events/55	Endocytic lysosomal uptake leading to liver fibrosis
https://identifiers.org/aop/152	https://identifiers.org/aop/152	https://identifiers.org/aop.events/960	https://identifiers.org/aop.events/960	Interference with thyroid serum binding protein transthyretin and subsequent adverse human neurodevelopmental toxicity 
https://identifiers.org/aop/17	https://identifiers.org/aop/17	https://identifiers.org/aop.events/1488	https://identifiers.org/aop.events/1488	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
https://identifiers.org/aop/17	https://identifiers.org/aop/17	https://identifiers.org/aop.events/1493	https://identifiers.org/aop.events/1493	Binding of electrophilic chemicals to SH(thiol)-group of proteins and /or to seleno-proteins involved in protection against oxidative stress during brain development leads to impairment of learning and memory
