Ensembl_source	Ensembl	fromPublication	fromDisGeNET	fromWikiPathways	gLayCluster	snpID	CNVassociated	PathwayID_target	PathwayID	PathwayTitle
ENSG00000141027	ENSG00000141027			1	166		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000116478	ENSG00000116478		1	1	166		1	WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000137154	ENSG00000137154			1	193			WP3584	WP3584	MECP2 and associated Rett syndrome
ENSG00000170345	ENSG00000170345			1	166			WP408	WP408	Oxidative stress response
ENSG00000112062	ENSG00000112062		1	1	166			WP408	WP408	Oxidative stress response
ENSG00000109320	ENSG00000109320			1	166		1	WP408;WP5402	WP408;WP5402	
ENSG00000141510	ENSG00000141510		1	1	166		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000133794	ENSG00000133794			1	166		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000054598	ENSG00000054598			1	166		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000171791	ENSG00000171791		1	1	166		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000141027	ENSG00000141027			1	166		1	WP4657	WP4657	22q11.2 copy number variation syndrome
ENSG00000100030	ENSG00000100030		1	1	166		1	WP4875;WP5346	WP4875;WP5346	
ENSG00000168036	ENSG00000168036		1	1	166		1	WP4905	WP4905	1q21.1 copy number variation syndrome
ENSG00000096717	ENSG00000096717		1	1	166		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000100644	ENSG00000100644			1	166		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000177606	ENSG00000177606		1	1	166		1	WP4906	WP4906	3q29 copy number variation syndrome
ENSG00000136997	ENSG00000136997			1	166		1	WP4906;WP4906	WP4906;WP4906	
ENSG00000136997	ENSG00000136997			1	166		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000049541	ENSG00000049541			1	165		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000139687	ENSG00000139687			1	166		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000168036	ENSG00000168036		1	1	166		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000094631	ENSG00000094631			1	166		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000188486	ENSG00000188486		1	1	166		1	WP4932	WP4932	7q11.23 copy number variation syndrome
ENSG00000102882	ENSG00000102882	1	1	1	166	rs9925915	1	WP4932;WP4932	WP4932;WP4932	
ENSG00000103126	ENSG00000103126			1	166		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000117984	ENSG00000117984			1	166		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000102882	ENSG00000102882	1	1	1	166	rs9925915	1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000164733	ENSG00000164733			1	166		1	WP5346	WP5346	8p23.1 copy number variation syndrome
ENSG00000168036	ENSG00000168036		1	1	166		1	WP5346;WP5346	WP5346;WP5346	
ENSG00000102882	ENSG00000102882	1	1	1	166	rs9925915	1	WP5399	WP5399	NPHP1 deletion syndrome
ENSG00000100030	ENSG00000100030		1	1	166		1	WP5399	WP5399	NPHP1 deletion syndrome
ENSG00000107643	ENSG00000107643		1	1	166		1	WP5406	WP5406	13q12.12 copy number variation
ENSG00000116478	ENSG00000116478		1	1	166		1	WP5407	WP5407	15q11q13 copy number variation
ENSG00000141510	ENSG00000141510		1	1	166		1	WP5412;WP5412	WP5412;WP5412	
ENSG00000139687	ENSG00000139687			1	166		1	WP5412;WP5412	WP5412;WP5412	
ENSG00000134852	ENSG00000134852		1		166					
ENSG00000091831	ENSG00000091831		1		166					
ENSG00000082701	ENSG00000082701		1		166					
ENSG00000118971	ENSG00000118971		1		166					
ENSG00000048052	ENSG00000048052		1		166					
ENSG00000140009	ENSG00000140009		1		166					
ENSG00000012048	ENSG00000012048		1		166					
ENSG00000152422	ENSG00000152422		1		165					
ENSG00000110092	ENSG00000110092		1		166					
ENSG00000180530	ENSG00000180530	1	1		166	rs9975024				
ENSG00000148737	ENSG00000148737		1		166					
ENSG00000186951	ENSG00000186951		1		166					
ENSG00000015475	ENSG00000015475		1		166					
ENSG00000149311	ENSG00000149311		1		165					
ENSG00000073050	ENSG00000073050		1		165					
ENSG00000134982	ENSG00000134982		1		166					
