term_id,p_values,significant,term_size,query_sizes,intersection_sizes,source,term_name,effective_domain_size,source_order,parents,highlighted
GO:0007154,1.20998306647137e-174,TRUE,6495,621,528,GO:BP,cell communication,21010,2765,GO:0009987,TRUE
GO:0023052,1.2487862265333e-174,TRUE,6396,621,525,GO:BP,signaling,21010,6955,GO:0050789,FALSE
GO:0007165,1.1697825440879e-164,TRUE,5926,621,501,GO:BP,signal transduction,21010,2776,GO:0007154|GO:0009987|GO:0023052|GO:0050794|GO:0051716,FALSE
GO:0071944,2.50799682742783e-141,TRUE,6202,626,479,GO:CC,cell periphery,22090,2799,GO:0110165,TRUE
GO:0051716,5.80293468863426e-138,TRUE,7399,621,520,GO:BP,cellular response to stimulus,21010,14605,GO:0009987|GO:0050896,FALSE
GO:0005886,4.41467733914928e-134,TRUE,5717,626,455,GO:CC,plasma membrane,22090,424,GO:0016020|GO:0071944,FALSE
GO:0030054,4.44233416859711e-122,TRUE,2214,626,289,GO:CC,cell junction,22090,871,GO:0110165,FALSE
GO:0050896,4.81261376708267e-121,TRUE,8955,621,544,GO:BP,response to stimulus,21010,14004,GO:0008150,FALSE
GO:0005102,4.40845546971234e-101,TRUE,1484,620,230,GO:MF,signaling receptor binding,20139,1280,GO:0005515,TRUE
GO:0045202,5.11279670091895e-100,TRUE,1451,626,219,GO:CC,synapse,22090,2145,GO:0030054,FALSE
GO:0010646,3.7760328748173e-98,TRUE,3405,621,328,GO:BP,regulation of cell communication,21010,4364,GO:0007154|GO:0050794,FALSE
GO:0007166,3.1156275025168e-97,TRUE,2783,621,297,GO:BP,cell surface receptor signaling pathway,21010,2777,GO:0007165,FALSE
GO:0050794,4.17005638660254e-96,TRUE,11758,621,580,GO:BP,regulation of cellular process,21010,13920,GO:0009987|GO:0050789,FALSE
GO:0007267,1.12089604334525e-94,TRUE,1703,621,234,GO:BP,cell-cell signaling,21010,2846,GO:0007154|GO:0023052,FALSE
GO:0023051,1.63913322757813e-94,TRUE,3396,621,323,GO:BP,regulation of signaling,21010,6954,GO:0023052|GO:0050789,FALSE
GO:0050789,1.88810979824425e-93,TRUE,12331,621,588,GO:BP,regulation of biological process,21010,13916,GO:0008150|GO:0065007,FALSE
GO:0065007,2.12156222598773e-85,TRUE,12751,621,588,GO:BP,biological regulation,21010,16682,GO:0008150,FALSE
GO:0043005,3.5550337808293e-85,TRUE,1299,626,193,GO:CC,neuron projection,22090,1850,GO:0120025,FALSE
GO:0032879,8.20363398301665e-85,TRUE,2123,621,247,GO:BP,regulation of localization,21010,8247,GO:0050789|GO:0051179,FALSE
GO:0065008,8.2906287154993e-85,TRUE,2918,621,288,GO:BP,regulation of biological quality,21010,16683,GO:0065007,FALSE
REAC:R-HSA-162582,1.89021374503098e-84,TRUE,2546,549,340,REAC,Signal Transduction,10835,2105,REAC:0000000,FALSE
GO:0099536,2.85112498017205e-83,TRUE,778,621,156,GO:BP,synaptic signaling,21010,20016,GO:0007267,FALSE
GO:0099537,2.83911217507126e-78,TRUE,753,621,149,GO:BP,trans-synaptic signaling,21010,20017,GO:0099536,FALSE
GO:0051239,9.61456282405788e-78,TRUE,2968,621,281,GO:BP,regulation of multicellular organismal process,21010,14270,GO:0032501|GO:0050789,FALSE
GO:0032501,6.59436270477198e-77,TRUE,7648,621,455,GO:BP,multicellular organismal process,21010,7975,GO:0008150,FALSE
GO:0042995,1.27925032527022e-76,TRUE,2329,626,242,GO:CC,cell projection,22090,1849,GO:0110165,FALSE
